"","roomType","city","long","lat","price"
"454","Private room","Boston",-71.066785,42.361051,109
"455","Private room","Boston",-71.065104,42.36091,110
"456","Private room","Boston",-71.064399,42.361501,110
"457","Private room","Boston",-71.063992,42.361376,110
"458","Private room","Boston",-71.064504,42.360802,110
"459","Private room","Boston",-71.065314,42.360564,110
"460","Private room","Boston",-71.06749,42.356797,115
"461","Private room","Boston",-71.065872,42.361535,115
"462","Private room","Boston",-71.067059,42.361306,115
"463","Private room","Boston",-71.067265,42.359684,118
"464","Private room","Boston",-71.065049,42.361273,120
"465","Private room","Boston",-71.06261,42.358543,120
"466","Entire home/apt","Boston",-71.070508,42.361232,120
"467","Private room","Boston",-71.065247,42.35965,125
"468","Private room","Boston",-71.065095,42.360718,125
"469","Private room","Boston",-71.065482,42.360651,125
"470","Private room","Boston",-71.063554,42.35924,125
"471","Private room","Boston",-71.067055,42.359498,125
"472","Entire home/apt","Boston",-71.065556,42.361172,129
"473","Private room","Boston",-71.063033,42.359856,130
"474","Entire home/apt","Boston",-71.065792,42.359199,145
"475","Entire home/apt","Boston",-71.062935,42.360751,145
"476","Private room","Boston",-71.064193,42.360809,150
"477","Entire home/apt","Boston",-71.061507,42.356957,150
"478","Entire home/apt","Boston",-71.065486,42.360573,150
"479","Entire home/apt","Boston",-71.063812,42.358387,150
"480","Private room","Boston",-71.069584,42.360296,150
"481","Entire home/apt","Boston",-71.062651,42.359187,155
"482","Entire home/apt","Boston",-71.066391,42.359523,159
"483","Private room","Boston",-71.066303,42.360015,159
"484","Entire home/apt","Boston",-71.061786,42.357307,159
"485","Entire home/apt","Boston",-71.070799,42.358675,160
"486","Entire home/apt","Boston",-71.06327,42.35846,160
"487","Entire home/apt","Boston",-71.063109,42.358926,160
"488","Entire home/apt","Boston",-71.064358,42.357787,160
"489","Entire home/apt","Boston",-71.069234,42.359279,165
"490","Entire home/apt","Boston",-71.071472,42.356716,165
"491","Entire home/apt","Boston",-71.064014,42.36052,165
"492","Entire home/apt","Boston",-71.065337,42.361732,165
"493","Entire home/apt","Boston",-71.067104,42.360748,168
"494","Entire home/apt","Boston",-71.06185,42.358403,175
"495","Entire home/apt","Boston",-71.063315,42.358669,175
"496","Entire home/apt","Boston",-71.063311,42.358931,175
"497","Private room","Boston",-71.066966,42.360079,175
"498","Entire home/apt","Boston",-71.070565,42.35692,175
